"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","959.19","959.87","959.87","954.94","244.06M","0.06%"
"Nov 05, 2019","958.64","958.28","960.62","954.83","273.06M","0.14%"
"Nov 04, 2019","957.26","958.42","960.93","956.05","308.55M","0.11%"
"Nov 01, 2019","956.17","955.12","956.97","953.11","238.07M","0.65%"
"Oct 31, 2019","950.01","953.99","956.20","945.91","237.96M","-0.46%"
"Oct 30, 2019","954.41","947.59","954.83","944.84","221.68M","0.60%"
"Oct 29, 2019","948.69","953.63","954.77","948.25","213.34M","-0.59%"
"Oct 28, 2019","954.33","952.16","955.94","950.88","230.35M","0.38%"
"Oct 25, 2019","950.76","937.23","953.54","937.21","224.08M","-0.21%"
"Oct 24, 2019","952.78","953.91","955.18","949.76","300.46M","0.05%"
"Oct 23, 2019","952.26","955.81","955.99","949.27","210.78M","-0.43%"
"Oct 22, 2019","956.37","962.10","962.12","955.86","218.33M","-0.72%"
"Oct 21, 2019","963.29","962.87","966.29","960.48","195.62M","0.47%"
"Oct 18, 2019","958.79","960.89","962.56","955.16","240.10M","-0.32%"
"Oct 17, 2019","961.90","964.35","966.04","960.42","172.84M","0.32%"
"Oct 16, 2019","958.85","955.34","960.42","955.34","177.54M","0.41%"
"Oct 15, 2019","954.96","948.38","957.38","948.31","180.60M","0.96%"
"Oct 14, 2019","945.88","944.41","948.01","943.32","159.31M","-0.06%"
"Oct 11, 2019","946.48","946.02","954.27","945.53","217.83M","1.15%"
"Oct 10, 2019","935.74","931.55","939.72","930.86","192.10M","0.53%"
"Oct 09, 2019","930.77","928.70","933.57","926.52","157.15M","0.89%"
"Oct 08, 2019","922.52","925.86","932.56","922.49","204.66M","-1.14%"
"Oct 07, 2019","933.12","934.12","938.64","930.24","192.23M","-0.44%"
"Oct 04, 2019","937.22","929.56","937.43","929.23","180.78M","0.97%"
"Oct 03, 2019","928.25","922.22","928.29","911.12","235.28M","0.54%"
"Oct 02, 2019","923.30","934.36","934.36","919.17","286.44M","-1.77%"
"Oct 01, 2019","939.96","949.49","953.43","939.76","218.37M","-0.77%"
"Sep 30, 2019","947.27","941.04","948.49","940.31","184.01M","0.84%"
"Sep 27, 2019","939.36","946.27","946.41","934.34","188.71M","-0.37%"
"Sep 26, 2019","942.86","948.55","949.22","938.88","193.25M","-0.56%"
"Sep 25, 2019","948.15","942.77","949.56","935.24","195.83M","0.97%"
"Sep 24, 2019","939.04","954.84","957.86","936.86","217.03M","-1.19%"
"Sep 23, 2019","950.35","944.79","953.02","944.11","184.61M","0.23%"
"Sep 20, 2019","948.16","959.66","963.40","947.92","300.03M","-1.17%"
"Sep 19, 2019","959.36","962.84","964.64","958.79","176.59M","-0.22%"
"Sep 18, 2019","961.50","961.36","962.27","951.96","185.74M","-0.07%"
"Sep 17, 2019","962.16","953.32","962.42","952.84","223.96M","0.60%"
"Sep 16, 2019","956.40","961.83","962.66","954.93","229.45M","-1.31%"
"Sep 13, 2019","969.05","972.59","974.44","968.14","203.29M","-0.19%"
"Sep 12, 2019","970.88","970.06","976.50","968.62","230.86M","0.52%"
"Sep 11, 2019","965.83","962.87","968.06","959.56","237.69M","0.16%"
"Sep 10, 2019","964.29","964.21","964.29","954.71","306.46M","-0.38%"
"Sep 09, 2019","967.99","968.12","970.98","965.17","252.12M","0.30%"
"Sep 06, 2019","965.06","964.28","967.69","962.14","192.50M","0.21%"
"Sep 05, 2019","963.01","953.85","964.25","953.85","242.26M","1.90%"
"Sep 04, 2019","945.05","941.09","946.34","937.82","211.46M","0.86%"
"Sep 03, 2019","936.98","935.80","942.43","933.19","211.22M","-0.37%"
"Aug 30, 2019","940.47","948.83","949.23","937.21","206.95M","-0.56%"
"Aug 29, 2019","945.77","941.26","947.63","940.35","224.58M","1.48%"
"Aug 28, 2019","932.02","919.71","932.82","917.89","216.74M","1.09%"
"Aug 27, 2019","921.94","930.39","930.80","919.81","211.40M","-0.41%"
"Aug 26, 2019","925.72","924.33","925.86","916.93","203.88M","1.02%"
"Aug 23, 2019","916.38","935.18","939.97","913.46","296.73M","-2.75%"
"Aug 22, 2019","942.34","945.21","947.64","936.48","250.79M","-0.06%"
"Aug 21, 2019","942.92","939.72","943.01","938.82","264.25M","1.83%"
"Aug 20, 2019","926.00","926.76","932.23","924.43","232.65M","-0.08%"
"Aug 19, 2019","926.72","927.83","929.48","924.18","211.27M","1.25%"
"Aug 16, 2019","915.32","911.34","917.14","909.46","199.72M","1.09%"
"Aug 15, 2019","905.42","910.63","912.79","897.92","278.43M","-0.08%"
"Aug 14, 2019","906.10","922.24","922.24","905.39","328.39M","-3.14%"
"Aug 13, 2019","935.46","918.13","942.91","916.00","236.89M","1.71%"
"Aug 12, 2019","919.71","926.92","927.77","916.26","142.48M","-1.43%"
"Aug 09, 2019","933.03","940.25","941.85","928.50","197.53M","-0.97%"
"Aug 08, 2019","942.18","930.38","942.49","929.58","223.70M","1.98%"
"Aug 07, 2019","923.86","913.80","925.54","906.62","235.66M","0.31%"
"Aug 06, 2019","920.96","913.86","922.21","907.91","249.28M","1.46%"
"Aug 05, 2019","907.67","917.44","917.44","900.89","280.42M","-2.73%"
"Aug 02, 2019","933.12","937.97","939.13","929.08","242.58M","-0.91%"
"Aug 01, 2019","941.70","955.65","965.33","938.09","328.54M","-1.30%"
"Jul 31, 2019","954.09","965.54","965.82","945.43","292.58M","-1.18%"
"Jul 30, 2019","965.48","965.45","968.46","963.33","228.96M","-0.69%"
"Jul 29, 2019","972.17","975.30","975.30","967.76","205.53M","-0.58%"
"Jul 26, 2019","977.85","974.98","978.80","971.96","232.42M","0.22%"
"Jul 25, 2019","975.69","979.12","981.56","974.81","306.28M","-0.63%"
"Jul 24, 2019","981.91","971.50","982.05","971.50","232.98M","0.54%"
"Jul 23, 2019","976.68","975.29","976.89","969.17","267.71M","0.58%"
"Jul 22, 2019","971.08","971.72","973.04","966.49","202.64M","0.16%"
"Jul 19, 2019","969.52","979.45","980.76","969.30","209.74M","-0.70%"
"Jul 18, 2019","976.38","974.84","977.96","968.89","207.69M","-0.22%"
"Jul 17, 2019","978.51","986.51","987.24","978.49","185.63M","-0.90%"
"Jul 16, 2019","987.40","986.16","990.11","984.37","188.96M","-0.18%"
"Jul 15, 2019","989.17","988.35","989.49","983.70","176.96M","0.34%"
"Jul 12, 2019","985.83","978.28","986.17","978.28","189.29M","1.06%"
"Jul 11, 2019","975.46","977.65","979.63","973.36","170.55M","0.16%"
"Jul 10, 2019","973.86","973.19","975.58","969.21","188.24M","0.39%"
"Jul 09, 2019","970.09","963.32","970.91","962.80","191.05M","0.33%"
"Jul 08, 2019","966.92","962.16","967.69","961.23","170.92M","0.19%"
"Jul 05, 2019","965.13","959.55","966.22","956.98","144.78M","0.12%"
"Jul 03, 2019","964.02","957.73","964.02","957.73","119.23M","0.75%"
"Jul 02, 2019","956.88","953.44","956.89","948.99","181.69M","0.32%"
"Jul 01, 2019","953.84","955.15","961.26","949.94","230.41M","0.87%"
"Jun 28, 2019","945.58","944.73","947.44","943.21","291.52M","0.25%"
"Jun 27, 2019","943.24","939.83","944.48","939.42","213.24M","0.59%"
"Jun 26, 2019","937.70","937.44","940.77","936.46","207.35M","0.41%"
"Jun 25, 2019","933.85","945.38","946.15","932.54","243.50M","-1.07%"
"Jun 24, 2019","943.98","948.42","949.87","943.43","203.76M","-0.51%"
"Jun 21, 2019","948.84","951.77","954.08","948.20","315.52M","-0.36%"
"Jun 20, 2019","952.29","952.71","955.22","945.29","215.21M","0.66%"
"Jun 19, 2019","946.09","945.38","947.91","939.37","201.08M","0.24%"
"Jun 18, 2019","943.84","942.90","950.40","942.49","210.05M","0.75%"
"Jun 17, 2019","936.83","937.52","940.30","936.14","174.52M","0.10%"
"Jun 14, 2019","935.89","932.37","937.73","931.76","-","0.24%"
"Jun 13, 2019","933.63","928.75","935.51","928.66","-","0.90%"
"Jun 12, 2019","925.32","925.21","929.68","923.93","-","-0.11%"
"Jun 11, 2019","926.32","930.67","934.95","922.93","-","0.33%"
"Jun 10, 2019","923.23","919.98","931.73","918.40","-","1.05%"
"Jun 07, 2019","913.60","903.22","916.15","902.53","-","1.58%"
"Jun 06, 2019","899.40","894.37","901.77","890.95","-","0.49%"
"Jun 05, 2019","894.97","896.75","896.75","886.02","-","0.44%"
"Jun 04, 2019","891.08","874.69","891.32","874.69","-","2.63%"
"Jun 03, 2019","868.21","876.35","878.52","862.89","-","-1.18%"
"May 31, 2019","878.54","879.50","883.17","876.51","-","-1.44%"
"May 30, 2019","891.34","889.22","894.56","888.24","-","0.51%"
"May 29, 2019","886.86","889.21","890.08","880.61","-","-0.88%"
"May 28, 2019","894.77","902.09","906.99","893.64","-","-0.49%"
"May 24, 2019","899.17","902.95","904.58","895.52","-","0.14%"
"May 23, 2019","897.92","903.01","903.01","893.27","-","-1.34%"
"May 22, 2019","910.10","912.69","915.66","909.01","-","-0.90%"
"May 21, 2019","918.37","915.10","921.01","912.30","-","0.57%"
"May 20, 2019","913.17","913.76","915.92","909.09","-","-0.69%"
"May 17, 2019","919.56","921.02","931.62","919.15","-","-0.80%"
"May 16, 2019","926.99","921.20","932.57","921.20","-","1.00%"
"May 15, 2019","917.78","905.75","919.80","903.64","-","0.78%"
"May 14, 2019","910.67","906.52","915.65","901.82","-","0.87%"
"May 13, 2019","902.79","913.81","913.81","899.58","-","-2.95%"
"May 10, 2019","930.20","928.12","934.62","913.39","-","0.05%"
"May 09, 2019","929.78","926.46","932.89","919.24","-","-0.43%"
"May 08, 2019","933.77","932.60","939.54","929.48","-","-0.07%"
"May 07, 2019","934.39","942.43","944.86","927.07","-","-1.46%"
"May 06, 2019","948.21","939.38","950.07","938.16","-","-0.64%"
"May 03, 2019","954.28","950.71","955.88","948.43","-","1.40%"
"May 02, 2019","941.13","942.31","945.63","934.52","-","-0.03%"
"May 01, 2019","941.37","953.54","953.98","941.28","-","-1.13%"
"Apr 30, 2019","952.14","951.88","953.32","944.84","-","-0.20%"
"Apr 29, 2019","954.06","957.18","958.20","953.06","-","-0.35%"
"Apr 26, 2019","957.39","953.51","957.39","946.41","-","0.93%"
"Apr 25, 2019","948.60","953.63","953.63","945.40","-","-0.48%"
"Apr 24, 2019","953.13","954.14","958.01","952.85","-","-0.03%"
"Apr 23, 2019","953.40","944.29","955.40","943.85","-","1.22%"
"Apr 22, 2019","941.93","940.46","944.78","937.75","-","-0.22%"
"Apr 18, 2019","943.97","945.41","946.56","941.47","-","-0.05%"
"Apr 17, 2019","944.47","945.74","947.96","943.88","-","0.19%"
"Apr 16, 2019","942.64","940.56","944.11","940.56","-","0.48%"
"Apr 15, 2019","938.16","936.42","938.62","931.75","-","0.21%"
"Apr 12, 2019","936.24","934.21","938.18","934.21","-","0.55%"
"Apr 11, 2019","931.13","930.90","931.42","928.74","-","0.12%"
"Apr 10, 2019","929.98","927.12","930.15","923.50","-","0.49%"
"Apr 09, 2019","925.47","930.85","930.90","923.98","-","-0.90%"
"Apr 08, 2019","933.91","928.85","934.05","927.87","-","0.39%"
"Apr 05, 2019","930.29","926.76","930.95","926.65","-","0.63%"
"Apr 04, 2019","924.49","919.02","924.69","918.41","-","0.71%"
"Apr 03, 2019","917.99","916.17","921.18","914.41","-","0.71%"
"Apr 02, 2019","911.54","911.55","912.64","908.75","-","-0.03%"
"Apr 01, 2019","911.77","907.70","912.08","906.30","-","1.17%"
"Mar 29, 2019","901.20","900.90","902.90","899.16","-","0.52%"
"Mar 28, 2019","896.58","894.81","900.24","891.65","-","0.58%"
"Mar 27, 2019","891.42","894.66","898.43","885.83","-","-0.26%"
"Mar 26, 2019","893.71","895.18","900.11","889.14","-","0.44%"
"Mar 25, 2019","889.79","882.34","893.62","882.34","-","0.56%"
"Mar 22, 2019","884.84","898.54","901.35","884.69","-","-2.05%"
"Mar 21, 2019","903.38","890.87","904.26","890.77","-","1.32%"
"Mar 20, 2019","891.57","889.73","895.33","882.57","-","0.37%"
"Mar 19, 2019","888.26","887.56","896.14","885.19","-","0.50%"
"Mar 18, 2019","883.85","875.85","884.63","875.85","-","1.05%"
"Mar 15, 2019","874.67","872.07","875.65","868.37","-","0.71%"
"Mar 14, 2019","868.50","871.09","871.09","867.01","-","-0.31%"
"Mar 13, 2019","871.21","870.39","876.15","869.88","-","0.39%"
"Mar 12, 2019","867.86","866.83","869.72","864.14","-","0.23%"
"Mar 11, 2019","865.85","855.02","866.61","855.02","-","1.53%"
"Mar 08, 2019","852.82","851.01","853.13","846.06","-","-0.66%"
"Mar 07, 2019","858.46","868.17","868.38","855.80","-","-1.37%"
"Mar 06, 2019","870.42","876.78","879.46","870.20","-","-0.56%"
"Mar 05, 2019","875.33","876.92","879.32","874.08","-","0.20%"
"Mar 04, 2019","873.56","878.50","880.91","866.88","-","-0.16%"
"Mar 01, 2019","874.97","874.73","877.42","868.74","-","0.92%"
"Feb 28, 2019","867.03","867.03","869.78","863.39","-","-0.56%"
"Feb 27, 2019","871.93","871.82","874.15","865.49","-","-0.04%"
"Feb 26, 2019","872.28","868.60","873.51","866.64","-","0.15%"
"Feb 25, 2019","870.98","878.18","880.05","870.63","-","-0.31%"
"Feb 22, 2019","873.67","870.74","874.09","869.97","-","0.58%"
"Feb 21, 2019","868.61","869.02","871.29","865.31","-","-0.20%"
"Feb 20, 2019","870.36","869.70","872.61","867.04","-","0.14%"
"Feb 19, 2019","869.17","863.27","871.86","863.23","-","0.47%"
"Feb 15, 2019","865.07","864.74","867.41","863.02","-","0.52%"
"Feb 14, 2019","860.57","858.98","865.52","853.17","-","-0.44%"
"Feb 13, 2019","864.37","862.11","866.37","860.58","-","0.62%"
"Feb 12, 2019","859.06","849.35","859.72","849.03","-","1.66%"
"Feb 11, 2019","845.04","846.46","848.84","843.65","-","0.18%"
"Feb 08, 2019","843.51","842.10","843.52","837.06","-","-0.51%"
"Feb 07, 2019","847.81","848.04","850.57","840.44","-","-0.87%"
"Feb 06, 2019","855.28","861.56","861.69","852.12","-","-0.51%"
"Feb 05, 2019","859.70","854.84","861.18","854.59","-","0.96%"
