"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2019","449.78","442.79","450.76","442.79","180.69M","1.58%"
"Nov 06, 2019","442.79","453.17","453.17","441.66","186.89M","-2.29%"
"Nov 05, 2019","453.17","451.12","455.70","450.52","208.71M","0.45%"
"Nov 04, 2019","451.12","437.36","452.16","437.36","196.91M","3.15%"
"Nov 01, 2019","437.36","426.66","437.56","426.66","160.87M","2.51%"
"Oct 31, 2019","426.66","428.68","428.68","422.90","192.94M","-0.47%"
"Oct 30, 2019","428.68","437.97","438.81","427.05","169.60M","-2.12%"
"Oct 29, 2019","437.97","436.14","441.45","432.99","171.16M","0.42%"
"Oct 28, 2019","436.14","438.87","442.54","435.39","149.01M","-0.62%"
"Oct 25, 2019","438.87","435.50","439.83","434.70","153.75M","0.77%"
"Oct 24, 2019","435.50","437.36","440.11","433.14","145.73M","-0.43%"
"Oct 23, 2019","437.36","434.10","438.10","431.33","143.43M","0.75%"
"Oct 22, 2019","434.10","428.49","438.62","428.42","150.32M","1.31%"
"Oct 21, 2019","428.49","420.67","428.64","420.67","162.46M","1.86%"
"Oct 18, 2019","420.67","422.97","425.16","420.67","187.62M","-0.54%"
"Oct 17, 2019","422.97","422.81","425.83","421.82","150.10M","0.04%"
"Oct 16, 2019","422.81","429.22","430.37","422.76","145.43M","-1.49%"
"Oct 15, 2019","429.22","427.54","433.38","426.05","136.62M","0.39%"
"Oct 14, 2019","427.54","428.04","428.83","423.03","134.09M","-0.12%"
"Oct 11, 2019","428.04","422.11","431.42","422.11","150.68M","1.40%"
"Oct 10, 2019","422.11","416.77","422.92","416.77","133.87M","1.28%"
"Oct 09, 2019","416.77","412.37","418.75","412.37","137.04M","1.07%"
"Oct 08, 2019","412.37","419.86","419.86","412.29","163.87M","-1.78%"
"Oct 07, 2019","419.86","423.76","425.93","419.84","144.58M","-0.92%"
"Oct 04, 2019","423.76","421.16","424.26","418.44","125.37M","0.62%"
"Oct 03, 2019","421.16","415.93","421.26","410.74","143.53M","1.26%"
"Oct 02, 2019","415.93","427.07","427.07","415.21","170.31M","-2.61%"
"Oct 01, 2019","427.07","437.13","440.28","427.00","154.31M","-2.30%"
"Sep 30, 2019","437.13","440.45","440.45","436.91","138.24M","-0.75%"
"Sep 27, 2019","440.45","440.45","443.75","437.43","173.09M","0.00%"
"Sep 26, 2019","440.45","446.40","446.40","438.34","152.24M","-1.33%"
"Sep 25, 2019","446.40","445.38","446.82","442.73","150.89M","0.23%"
"Sep 24, 2019","445.38","452.76","452.76","442.97","168.69M","-1.63%"
"Sep 23, 2019","452.76","452.25","453.81","449.03","131.14M","0.11%"
"Sep 20, 2019","452.25","451.89","454.39","450.60","241.60M","0.08%"
"Sep 19, 2019","451.89","453.64","457.03","451.08","138.32M","-0.39%"
"Sep 18, 2019","453.64","455.54","455.54","450.56","152.81M","-0.42%"
"Sep 17, 2019","455.54","462.55","462.55","452.83","227.65M","-1.52%"
"Sep 16, 2019","462.55","447.81","464.84","447.81","360.60M","3.29%"
"Sep 13, 2019","447.81","444.25","449.52","444.25","157.10M","0.80%"
"Sep 12, 2019","444.25","447.08","447.08","437.62","218.32M","-0.63%"
"Sep 11, 2019","447.08","446.98","452.28","444.40","175.13M","0.02%"
"Sep 10, 2019","446.98","441.27","452.69","441.27","196.68M","1.29%"
"Sep 09, 2019","441.27","433.24","442.32","433.24","174.18M","1.85%"
"Sep 06, 2019","433.24","431.01","433.52","427.60","142.06M","0.52%"
"Sep 05, 2019","431.01","425.60","435.23","425.60","160.90M","1.27%"
"Sep 04, 2019","425.60","419.76","427.08","419.76","126.20M","1.39%"
"Sep 03, 2019","419.76","422.09","422.09","413.63","148.14M","-0.55%"
