"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","491.13","489.12","491.14","488.03","254.86M","0.41%"
"Nov 05, 2019","489.12","487.06","491.08","487.06","326.29M","0.42%"
"Nov 04, 2019","487.06","482.76","487.81","482.76","266.35M","0.89%"
"Nov 01, 2019","482.76","475.99","483.35","475.99","239.35M","1.42%"
"Oct 31, 2019","475.99","478.62","478.62","472.42","295.77M","-0.55%"
"Oct 30, 2019","478.62","479.31","479.69","475.44","227.69M","-0.14%"
"Oct 29, 2019","479.31","477.97","481.23","476.86","253.28M","0.28%"
"Oct 28, 2019","477.97","475.59","479.73","475.59","264.66M","0.50%"
"Oct 25, 2019","475.59","473.26","476.79","472.62","219.78M","0.49%"
"Oct 24, 2019","473.26","473.45","474.76","471.32","215.08M","-0.04%"
"Oct 23, 2019","473.45","471.76","473.55","470.95","237.96M","0.36%"
"Oct 22, 2019","471.76","473.09","474.76","470.37","288.36M","-0.28%"
"Oct 21, 2019","473.09","466.45","473.52","466.45","270.46M","1.42%"
"Oct 18, 2019","466.45","465.37","468.26","464.60","294.04M","0.23%"
"Oct 17, 2019","465.37","464.84","468.73","464.21","268.85M","0.11%"
"Oct 16, 2019","464.84","465.98","467.27","464.00","309.15M","-0.24%"
"Oct 15, 2019","465.98","459.86","468.88","459.86","328.01M","1.33%"
"Oct 14, 2019","459.86","459.31","460.42","457.43","194.10M","0.12%"
"Oct 11, 2019","459.31","453.50","464.46","453.50","307.04M","1.28%"
"Oct 10, 2019","453.50","448.90","456.53","448.90","248.44M","1.02%"
"Oct 09, 2019","448.90","444.47","450.68","444.47","209.52M","1.00%"
"Oct 08, 2019","444.47","453.65","453.65","444.27","283.77M","-2.02%"
"Oct 07, 2019","453.65","455.67","457.51","453.13","204.19M","-0.44%"
"Oct 04, 2019","455.67","447.03","456.07","447.03","241.69M","1.93%"
"Oct 03, 2019","447.03","446.30","447.11","439.16","294.97M","0.16%"
"Oct 02, 2019","446.30","455.86","455.86","445.16","303.66M","-2.10%"
"Oct 01, 2019","455.86","465.54","467.58","455.73","317.57M","-2.08%"
"Sep 30, 2019","465.54","466.03","467.80","465.00","224.75M","-0.11%"
"Sep 27, 2019","466.03","464.93","469.97","463.97","276.63M","0.24%"
"Sep 26, 2019","464.93","466.75","466.75","464.17","206.12M","-0.39%"
"Sep 25, 2019","466.75","463.36","467.68","462.47","283.74M","0.73%"
"Sep 24, 2019","463.36","467.76","469.77","461.82","295.77M","-0.94%"
"Sep 23, 2019","467.76","466.96","468.83","463.73","229.34M","0.17%"
"Sep 20, 2019","466.96","469.98","472.01","466.65","564.58M","-0.64%"
"Sep 19, 2019","469.98","471.88","474.05","469.29","207.77M","-0.40%"
"Sep 18, 2019","471.88","469.84","472.76","466.88","260.65M","0.43%"
"Sep 17, 2019","469.84","469.39","469.87","466.32","241.14M","0.10%"
"Sep 16, 2019","469.39","471.68","471.68","467.26","230.40M","-0.49%"
"Sep 13, 2019","471.68","467.76","473.03","467.76","322.85M","0.84%"
"Sep 12, 2019","467.76","465.60","469.41","462.62","314.96M","0.46%"
"Sep 11, 2019","465.60","462.85","465.60","458.84","280.37M","0.59%"
"Sep 10, 2019","462.85","460.99","464.41","458.35","338.72M","0.40%"
"Sep 09, 2019","460.99","454.01","462.63","454.01","330.67M","1.54%"
"Sep 06, 2019","454.01","453.94","455.94","452.28","236.05M","0.02%"
"Sep 05, 2019","453.94","445.49","457.86","445.49","273.23M","1.90%"
"Sep 04, 2019","445.49","440.72","446.02","440.72","209.92M","1.08%"
"Sep 03, 2019","440.72","445.65","445.65","437.22","255.26M","-1.11%"
"Aug 30, 2019","445.65","443.89","447.91","443.89","226.63M","0.40%"
"Aug 29, 2019","443.89","437.42","445.52","437.42","238.63M","1.48%"
"Aug 28, 2019","437.42","433.46","438.26","431.32","232.68M","0.91%"
"Aug 27, 2019","433.46","436.50","439.18","431.20","267.08M","-0.70%"
"Aug 26, 2019","436.50","431.84","436.62","431.84","215.12M","1.08%"
"Aug 23, 2019","431.84","443.07","443.48","429.31","323.00M","-2.53%"
"Aug 22, 2019","443.07","440.32","444.62","440.11","214.22M","0.62%"
"Aug 21, 2019","440.32","438.32","442.05","438.32","217.67M","0.46%"
"Aug 20, 2019","438.32","444.53","444.53","438.10","226.93M","-1.40%"
"Aug 19, 2019","444.53","440.19","447.41","440.19","231.00M","0.99%"
"Aug 16, 2019","440.19","432.16","441.21","432.16","296.10M","1.86%"
"Aug 15, 2019","432.16","430.82","435.17","429.38","306.27M","0.31%"
"Aug 14, 2019","430.82","446.72","446.72","430.21","436.12M","-3.56%"
"Aug 13, 2019","446.72","441.29","450.07","439.24","300.12M","1.23%"
"Aug 12, 2019","441.29","449.93","449.93","440.41","214.37M","-1.92%"
"Aug 09, 2019","449.93","451.27","452.39","445.83","251.37M","-0.30%"
"Aug 08, 2019","451.27","443.89","451.79","443.89","271.85M","1.66%"
"Aug 07, 2019","443.89","449.34","449.34","435.34","366.08M","-1.21%"
"Aug 06, 2019","449.34","442.67","449.56","441.02","283.47M","1.51%"
"Aug 05, 2019","442.67","457.56","457.56","439.17","390.68M","-3.25%"
"Aug 02, 2019","457.56","458.55","459.70","451.69","301.55M","-0.22%"
"Aug 01, 2019","458.55","469.45","471.53","457.60","394.52M","-2.32%"
"Jul 31, 2019","469.45","471.49","473.29","468.04","342.50M","-0.43%"
"Jul 30, 2019","471.49","472.36","472.36","468.29","213.80M","-0.18%"
"Jul 29, 2019","472.36","476.09","476.65","472.12","221.96M","-0.78%"
"Jul 26, 2019","476.09","471.42","476.43","471.11","251.74M","0.99%"
"Jul 25, 2019","471.42","474.23","474.74","470.13","266.17M","-0.59%"
"Jul 24, 2019","474.23","469.93","474.33","468.69","298.63M","0.92%"
"Jul 23, 2019","469.93","464.65","470.26","464.65","290.82M","1.14%"
"Jul 22, 2019","464.65","463.68","465.44","462.11","229.23M","0.21%"
"Jul 19, 2019","463.68","465.94","467.79","463.52","299.37M","-0.49%"
"Jul 18, 2019","465.94","462.15","466.56","461.57","273.27M","0.82%"
"Jul 17, 2019","462.15","466.27","466.27","461.74","313.83M","-0.88%"
"Jul 16, 2019","466.27","467.48","468.95","465.33","311.35M","-0.26%"
"Jul 15, 2019","467.48","469.97","470.45","466.20","250.25M","-0.53%"
"Jul 12, 2019","469.97","467.11","470.09","466.80","212.46M","0.61%"
"Jul 11, 2019","467.11","464.34","467.64","464.24","228.61M","0.60%"
