"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2019","1,043.45","1,029.42","1,043.85","1,029.42","134.34M","1.59%"
"Oct 03, 2019","1,027.12","1,016.55","1,027.32","1,009.42","150.44M","0.93%"
"Oct 02, 2019","1,017.63","1,029.79","1,031.81","1,013.79","226.63M","-1.52%"
"Oct 01, 2019","1,033.33","1,045.50","1,048.30","1,031.21","168.57M","-0.96%"
"Sep 30, 2019","1,043.37","1,034.86","1,049.74","1,034.86","175.22M","0.90%"
"Sep 27, 2019","1,034.11","1,041.34","1,043.59","1,030.40","164.74M","-0.42%"
"Sep 26, 2019","1,038.47","1,047.48","1,047.98","1,031.19","168.38M","-0.63%"
"Sep 25, 2019","1,045.04","1,049.23","1,050.25","1,043.71","140.05M","-0.48%"
"Sep 24, 2019","1,050.10","1,063.35","1,064.26","1,046.64","178.75M","-0.91%"
"Sep 23, 2019","1,059.70","1,063.23","1,064.52","1,059.50","146.95M","-0.61%"
"Sep 20, 2019","1,066.20","1,060.45","1,070.37","1,060.45","308.01M","0.60%"
"Sep 19, 2019","1,059.81","1,055.15","1,064.12","1,054.90","136.87M","0.47%"
"Sep 18, 2019","1,054.84","1,054.15","1,055.91","1,047.13","138.85M","0.01%"
"Sep 17, 2019","1,054.78","1,052.59","1,057.54","1,051.57","149.50M","0.14%"
"Sep 16, 2019","1,053.26","1,052.49","1,055.69","1,048.67","128.03M","-0.23%"
"Sep 13, 2019","1,055.71","1,057.95","1,063.42","1,053.28","162.28M","-0.07%"
"Sep 12, 2019","1,056.44","1,061.99","1,066.10","1,056.27","171.41M","-0.12%"
"Sep 11, 2019","1,057.71","1,047.94","1,057.71","1,046.37","168.62M","1.01%"
"Sep 10, 2019","1,047.12","1,041.97","1,047.12","1,027.66","230.31M","0.29%"
"Sep 09, 2019","1,044.07","1,053.82","1,054.61","1,040.19","185.01M","-0.92%"
"Sep 06, 2019","1,053.74","1,052.62","1,056.60","1,051.69","156.24M","0.31%"
"Sep 05, 2019","1,050.46","1,047.00","1,052.97","1,043.90","152.93M","0.98%"
"Sep 04, 2019","1,040.31","1,045.16","1,047.41","1,035.87","151.27M","0.01%"
"Sep 03, 2019","1,040.16","1,041.90","1,044.85","1,036.40","168.04M","-0.63%"
"Aug 30, 2019","1,046.74","1,048.73","1,051.34","1,041.59","149.67M","0.17%"
"Aug 29, 2019","1,045.00","1,042.51","1,047.29","1,038.54","141.94M","0.77%"
"Aug 28, 2019","1,037.01","1,027.35","1,038.99","1,024.94","152.03M","0.71%"
"Aug 27, 2019","1,029.73","1,039.77","1,045.26","1,028.91","193.37M","-0.55%"
"Aug 26, 2019","1,035.41","1,030.04","1,036.23","1,028.84","151.62M","0.97%"
"Aug 23, 2019","1,025.47","1,047.48","1,051.71","1,020.64","205.56M","-2.32%"
"Aug 22, 2019","1,049.81","1,056.57","1,059.17","1,045.90","141.95M","-0.49%"
"Aug 21, 2019","1,054.96","1,051.89","1,057.54","1,051.89","137.78M","0.75%"
