"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2019","1,490.83","1,491.04","1,491.34","1,483.05","392.16M","-0.01%"
"Nov 05, 2019","1,491.04","1,493.20","1,498.11","1,486.45","388.83M","-0.14%"
"Nov 04, 2019","1,493.20","1,485.07","1,497.93","1,485.07","373.91M","0.55%"
"Nov 01, 2019","1,485.07","1,467.20","1,485.11","1,467.20","397.10M","1.22%"
"Oct 31, 2019","1,467.20","1,468.97","1,472.55","1,458.72","388.89M","-0.12%"
"Oct 30, 2019","1,468.97","1,460.08","1,470.01","1,455.38","317.84M","0.61%"
"Oct 29, 2019","1,460.08","1,473.62","1,475.08","1,459.77","351.91M","-0.92%"
"Oct 28, 2019","1,473.62","1,455.22","1,474.29","1,455.22","348.90M","1.26%"
"Oct 25, 2019","1,455.22","1,438.00","1,456.67","1,437.37","363.34M","1.20%"
"Oct 24, 2019","1,438.00","1,417.01","1,438.77","1,417.01","350.12M","1.48%"
"Oct 23, 2019","1,417.01","1,415.29","1,417.06","1,408.43","319.88M","0.12%"
"Oct 22, 2019","1,415.29","1,434.96","1,442.75","1,414.83","298.37M","-1.37%"
"Oct 21, 2019","1,434.96","1,419.82","1,435.42","1,419.82","308.31M","1.07%"
"Oct 18, 2019","1,419.82","1,432.88","1,433.56","1,410.93","341.31M","-0.91%"
"Oct 17, 2019","1,432.88","1,436.23","1,444.87","1,426.00","270.01M","-0.23%"
"Oct 16, 2019","1,436.23","1,446.46","1,446.46","1,431.06","303.48M","-0.71%"
"Oct 15, 2019","1,446.46","1,430.66","1,449.79","1,430.66","295.68M","1.10%"
"Oct 14, 2019","1,430.66","1,432.11","1,436.64","1,429.86","258.14M","-0.10%"
"Oct 11, 2019","1,432.11","1,411.07","1,443.94","1,411.07","405.84M","1.49%"
"Oct 10, 2019","1,411.07","1,402.13","1,417.25","1,400.14","299.23M","0.64%"
"Oct 09, 2019","1,402.13","1,382.07","1,407.23","1,382.07","261.58M","1.45%"
"Oct 08, 2019","1,382.07","1,407.63","1,407.63","1,381.98","354.91M","-1.82%"
"Oct 07, 2019","1,407.63","1,414.40","1,419.05","1,406.72","286.05M","-0.48%"
"Oct 04, 2019","1,414.40","1,390.61","1,415.30","1,390.61","333.21M","1.71%"
"Oct 03, 2019","1,390.61","1,373.62","1,391.15","1,356.38","351.01M","1.24%"
"Oct 02, 2019","1,373.62","1,401.34","1,401.34","1,364.14","393.14M","-1.98%"
"Oct 01, 2019","1,401.34","1,413.36","1,429.37","1,400.41","352.07M","-0.85%"
"Sep 30, 2019","1,413.36","1,398.82","1,417.05","1,398.82","350.85M","1.04%"
"Sep 27, 2019","1,398.82","1,416.98","1,421.02","1,388.66","399.49M","-1.28%"
"Sep 26, 2019","1,416.98","1,416.42","1,422.81","1,407.18","306.52M","0.04%"
"Sep 25, 2019","1,416.42","1,399.08","1,420.11","1,385.28","345.85M","1.24%"
"Sep 24, 2019","1,399.08","1,413.57","1,428.18","1,393.92","435.66M","-1.03%"
"Sep 23, 2019","1,413.57","1,410.34","1,417.65","1,406.46","312.36M","0.23%"
"Sep 20, 2019","1,410.34","1,426.30","1,430.55","1,406.35","650.44M","-1.12%"
"Sep 19, 2019","1,426.30","1,423.27","1,438.75","1,423.27","317.86M","0.21%"
"Sep 18, 2019","1,423.27","1,422.34","1,423.62","1,403.63","316.40M","0.07%"
"Sep 17, 2019","1,422.34","1,417.40","1,422.88","1,415.07","315.38M","0.35%"
"Sep 16, 2019","1,417.40","1,421.26","1,421.26","1,409.16","289.94M","-0.27%"
"Sep 13, 2019","1,421.26","1,430.86","1,430.86","1,419.30","344.76M","-0.67%"
"Sep 12, 2019","1,430.86","1,423.77","1,442.61","1,423.77","428.26M","0.50%"
"Sep 11, 2019","1,423.77","1,409.53","1,423.78","1,409.53","388.19M","1.01%"
"Sep 10, 2019","1,409.53","1,416.49","1,416.49","1,393.24","396.28M","-0.49%"
"Sep 09, 2019","1,416.49","1,426.76","1,434.01","1,408.87","378.74M","-0.72%"
"Sep 06, 2019","1,426.76","1,428.93","1,432.04","1,423.64","324.55M","-0.15%"
"Sep 05, 2019","1,428.93","1,399.16","1,433.89","1,399.16","404.56M","2.13%"
"Sep 04, 2019","1,399.16","1,375.65","1,399.64","1,375.65","302.12M","1.71%"
"Sep 03, 2019","1,375.65","1,393.25","1,393.25","1,370.63","293.13M","-1.26%"
