"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2019","375.94","374.91","376.28","374.41","105.26M","0.65%"
"Nov 06, 2019","373.53","373.96","374.42","372.03","87.11M","-0.09%"
"Nov 05, 2019","373.87","372.84","375.76","372.13","118.89M","0.25%"
"Nov 04, 2019","372.93","372.21","373.77","371.07","97.30M","0.78%"
"Nov 01, 2019","370.03","366.28","370.10","366.17","96.34M","1.45%"
"Oct 31, 2019","364.73","368.38","369.38","362.96","123.23M","-1.10%"
"Oct 30, 2019","368.78","367.45","369.47","365.90","75.27M","-0.01%"
"Oct 29, 2019","368.83","365.85","370.45","364.00","65.22M","0.67%"
"Oct 28, 2019","366.38","366.62","368.26","365.27","69.17M","0.29%"
"Oct 25, 2019","365.33","362.19","366.14","360.95","89.80M","1.04%"
"Oct 24, 2019","361.56","361.56","363.54","359.45","84.97M","0.37%"
"Oct 23, 2019","360.24","359.19","361.68","358.85","91.04M","0.66%"
"Oct 22, 2019","357.88","359.00","360.26","356.31","78.49M","-0.41%"
"Oct 21, 2019","359.34","362.65","363.21","359.31","71.74M","-0.35%"
"Oct 18, 2019","360.60","361.00","362.14","359.15","66.37M","-0.10%"
"Oct 17, 2019","360.97","361.19","363.86","360.59","56.52M","0.19%"
"Oct 16, 2019","360.28","359.78","362.78","359.44","70.09M","0.30%"
"Oct 15, 2019","359.19","358.63","361.17","357.64","64.41M","0.68%"
"Oct 14, 2019","356.78","358.33","359.17","356.71","65.62M","-0.75%"
"Oct 11, 2019","359.46","355.55","362.75","355.55","109.97M","1.91%"
"Oct 10, 2019","352.72","350.84","354.28","349.73","115.74M","0.98%"
"Oct 09, 2019","349.29","347.83","350.67","347.08","71.09M","1.02%"
"Oct 08, 2019","345.75","349.59","349.59","345.54","89.45M","-1.73%"
"Oct 07, 2019","351.82","352.03","355.24","350.76","75.61M","-0.31%"
"Oct 04, 2019","352.92","351.80","353.74","351.12","74.37M","0.52%"
"Oct 03, 2019","351.10","349.32","351.15","345.55","77.39M","0.43%"
"Oct 02, 2019","349.60","354.09","354.09","346.54","90.42M","-1.87%"
"Oct 01, 2019","356.28","365.72","366.67","356.15","84.21M","-2.30%"
"Sep 30, 2019","364.66","362.22","365.46","361.91","69.27M","0.73%"
"Sep 27, 2019","362.03","363.52","365.01","360.48","73.14M","-0.26%"
"Sep 26, 2019","362.97","364.21","364.33","361.28","63.58M","-0.21%"
"Sep 25, 2019","363.73","361.48","364.39","360.38","72.36M","0.56%"
"Sep 24, 2019","361.71","365.63","366.62","360.77","82.10M","-0.96%"
"Sep 23, 2019","365.23","364.36","366.14","363.56","72.67M","-0.24%"
"Sep 20, 2019","366.12","367.11","368.45","364.39","122.69M","-0.16%"
"Sep 19, 2019","366.72","367.31","368.90","366.23","71.51M","0.15%"
"Sep 18, 2019","366.17","366.13","366.59","362.87","81.99M","0.08%"
"Sep 17, 2019","365.87","363.22","366.66","361.79","92.62M","0.71%"
"Sep 16, 2019","363.30","367.53","368.45","362.77","84.61M","-1.63%"
"Sep 13, 2019","369.31","366.77","370.19","366.77","94.12M","1.14%"
"Sep 12, 2019","365.16","364.74","366.54","362.29","96.56M","0.72%"
"Sep 11, 2019","362.54","359.02","362.54","357.21","86.63M","0.96%"
"Sep 10, 2019","359.08","354.97","359.08","354.51","112.46M","0.98%"
"Sep 09, 2019","355.58","358.12","358.19","354.77","85.51M","-0.50%"
"Sep 06, 2019","357.38","356.98","358.16","355.20","70.49M","0.48%"
"Sep 05, 2019","355.68","357.27","359.26","355.63","91.91M","0.21%"
"Sep 04, 2019","354.95","353.34","355.57","353.04","53.88M","1.08%"
"Sep 03, 2019","351.16","351.91","351.96","348.69","71.07M","-0.88%"
"Aug 30, 2019","354.28","354.66","355.78","352.82","73.08M","0.67%"
"Aug 29, 2019","351.92","351.00","353.45","351.00","65.17M","1.17%"
"Aug 28, 2019","347.86","344.37","348.48","342.96","72.08M","0.86%"
"Aug 27, 2019","344.88","346.47","348.05","344.13","77.15M","0.10%"
"Aug 26, 2019","344.55","345.89","346.80","343.10","73.24M","0.29%"
"Aug 23, 2019","343.54","351.11","352.01","341.96","96.62M","-2.44%"
"Aug 22, 2019","352.12","355.42","356.80","351.45","64.53M","-0.70%"
"Aug 21, 2019","354.60","355.16","356.06","354.02","62.88M","0.53%"
"Aug 20, 2019","352.74","355.75","355.75","352.55","67.15M","-1.22%"
"Aug 19, 2019","357.08","356.06","358.42","356.06","63.81M","0.77%"
"Aug 16, 2019","354.34","349.17","355.03","349.12","69.22M","1.76%"
"Aug 15, 2019","348.22","349.05","349.88","345.61","83.95M","-0.01%"
"Aug 14, 2019","348.25","357.05","357.05","347.87","101.92M","-3.26%"
"Aug 13, 2019","359.97","356.17","364.19","354.28","98.43M","1.13%"
"Aug 12, 2019","355.94","361.47","361.47","355.32","49.78M","-1.58%"
"Aug 09, 2019","361.64","363.13","363.46","359.67","74.94M","-0.71%"
"Aug 08, 2019","364.21","358.29","364.46","358.29","94.46M","1.89%"
"Aug 07, 2019","357.46","351.31","357.96","349.73","99.33M","1.32%"
"Aug 06, 2019","352.80","352.71","353.10","348.49","110.18M","0.08%"
"Aug 05, 2019","352.51","357.80","357.80","349.86","103.38M","-1.82%"
"Aug 02, 2019","359.06","361.79","361.92","356.58","91.92M","-1.21%"
"Aug 01, 2019","363.47","364.79","370.56","361.82","111.33M","-0.57%"
"Jul 31, 2019","365.54","370.63","371.80","362.40","96.03M","-1.48%"
"Jul 30, 2019","371.05","366.25","371.46","365.34","70.69M","0.59%"
"Jul 29, 2019","368.87","369.65","369.65","367.76","62.35M","-0.34%"
"Jul 26, 2019","370.11","369.19","370.24","366.63","67.94M","0.04%"
"Jul 25, 2019","369.95","371.40","371.50","366.29","86.63M","-0.78%"
"Jul 24, 2019","372.84","371.73","373.40","371.04","74.33M","-0.02%"
"Jul 23, 2019","372.92","366.52","372.95","366.52","64.99M","1.99%"
"Jul 22, 2019","365.66","367.06","367.66","364.93","62.46M","-0.25%"
"Jul 19, 2019","366.59","366.02","368.29","366.02","89.11M","0.25%"
"Jul 18, 2019","365.68","363.92","365.94","362.77","66.70M","0.43%"
"Jul 17, 2019","364.12","367.59","367.63","364.10","74.96M","-0.88%"
"Jul 16, 2019","367.37","366.87","370.44","366.71","79.94M","0.19%"
"Jul 15, 2019","366.68","365.96","366.68","364.71","63.75M","0.17%"
"Jul 12, 2019","366.04","363.13","366.12","363.13","63.11M","1.02%"
"Jul 11, 2019","362.33","360.59","362.36","359.02","77.37M","0.43%"
"Jul 10, 2019","360.78","363.25","364.39","360.36","65.43M","-0.19%"
"Jul 09, 2019","361.46","364.15","364.28","360.75","94.32M","-1.01%"
"Jul 08, 2019","365.16","368.24","368.65","364.51","76.47M","-1.06%"
"Jul 05, 2019","369.06","367.95","369.29","365.87","57.66M","-0.53%"
"Jul 03, 2019","371.02","369.41","371.02","368.31","43.22M","0.51%"
"Jul 02, 2019","369.15","369.43","369.43","366.99","83.72M","-0.14%"
"Jul 01, 2019","369.66","368.37","369.66","366.63","110.74M","0.69%"
"Jun 28, 2019","367.14","364.48","367.25","364.02","136.18M","0.86%"
"Jun 27, 2019","364.02","362.70","364.64","362.70","73.68M","0.35%"
"Jun 26, 2019","362.76","363.37","364.43","362.33","85.07M","-0.18%"
"Jun 25, 2019","363.43","363.65","364.90","362.26","90.47M","0.00%"
"Jun 24, 2019","363.43","361.79","364.00","360.59","94.41M","0.45%"
"Jun 21, 2019","361.81","362.87","363.33","361.60","137.33M","-0.32%"
"Jun 20, 2019","362.98","361.16","363.77","359.95","98.57M","1.21%"
"Jun 19, 2019","358.65","360.55","360.79","356.63","97.11M","-0.47%"
"Jun 18, 2019","360.33","358.54","362.97","358.54","107.99M","0.77%"
"Jun 17, 2019","357.59","360.15","360.66","357.28","92.84M","-0.94%"
"Jun 14, 2019","360.98","362.28","362.28","359.92","-","-0.47%"
"Jun 13, 2019","362.68","361.27","363.06","361.27","-","0.58%"
"Jun 12, 2019","360.60","359.72","361.11","359.15","-","0.31%"
"Jun 11, 2019","359.48","361.34","362.85","358.80","-","-0.07%"
"Jun 10, 2019","359.72","360.77","361.78","359.46","-","0.14%"
"Jun 07, 2019","359.20","357.46","360.41","357.37","-","0.70%"
"Jun 06, 2019","356.70","353.21","357.18","352.22","-","1.13%"
"Jun 05, 2019","352.72","350.73","352.72","346.43","-","0.78%"
"Jun 04, 2019","349.98","341.74","349.98","341.36","-","2.76%"
"Jun 03, 2019","340.58","331.59","340.58","330.41","-","3.42%"
"May 31, 2019","329.32","331.30","331.30","327.86","-","-1.24%"
"May 30, 2019","333.44","332.57","334.83","332.40","-","0.12%"
"May 29, 2019","333.05","331.96","333.53","329.65","-","-0.06%"
"May 28, 2019","333.24","335.91","337.33","332.77","-","-0.92%"
"May 24, 2019","336.33","336.90","337.97","334.66","-","0.50%"
"May 23, 2019","334.66","337.44","337.44","333.10","-","-1.53%"
"May 22, 2019","339.86","341.63","342.52","339.81","-","-0.66%"
"May 21, 2019","342.11","338.26","342.64","338.26","-","1.51%"
"May 20, 2019","337.02","339.07","340.09","336.43","-","-1.46%"
"May 17, 2019","342.01","341.91","344.24","340.37","-","-0.50%"
"May 16, 2019","343.72","341.55","344.97","341.50","-","1.34%"
"May 15, 2019","339.18","338.57","341.56","336.34","-","-0.24%"
"May 14, 2019","339.99","337.75","342.56","337.54","-","0.82%"
"May 13, 2019","337.24","341.41","341.41","334.69","-","-2.18%"
"May 10, 2019","344.74","340.31","346.19","338.44","-","1.27%"
"May 09, 2019","340.41","339.39","341.61","336.49","-","-0.80%"
"May 08, 2019","343.17","343.23","344.74","341.85","-","-0.10%"
"May 07, 2019","343.52","347.83","347.83","341.69","-","-1.82%"
"May 06, 2019","349.89","351.40","351.40","347.74","-","-1.38%"
"May 03, 2019","354.79","352.02","354.91","351.70","-","0.99%"
"May 02, 2019","351.31","352.77","353.13","348.86","-","-0.54%"
"May 01, 2019","353.23","359.74","360.13","353.22","-","-1.84%"
"Apr 30, 2019","359.84","357.77","360.16","355.91","-","0.88%"
"Apr 29, 2019","356.71","356.76","357.69","355.45","-","-0.18%"
"Apr 26, 2019","357.37","354.36","358.25","353.85","-","0.82%"
"Apr 25, 2019","354.45","358.26","358.26","353.46","-","-1.29%"
