"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","227.90","224.66","228.06","223.40","44.05M","1.27%"
"Dec 30, 2020","225.04","224.57","226.82","224.03","37.09M","0.36%"
"Dec 29, 2020","224.24","226.84","227.78","224.15","35.75M","-0.70%"
"Dec 28, 2020","225.83","224.65","225.97","223.76","43.12M","0.85%"
"Dec 24, 2020","223.92","222.76","223.94","222.62","15.97M","0.84%"
"Dec 23, 2020","222.06","225.13","226.10","222.02","46.32M","-0.95%"
"Dec 22, 2020","224.20","222.86","224.27","222.06","56.40M","0.61%"
"Dec 21, 2020","222.84","221.58","223.21","220.61","71.44M","-0.79%"
"Dec 18, 2020","224.62","228.80","228.86","223.08","199.77M","-1.83%"
"Dec 17, 2020","228.80","227.39","228.94","226.62","96.52M","1.21%"
"Dec 16, 2020","226.06","226.66","227.58","224.79","113.40M","0.01%"
"Dec 15, 2020","226.03","223.33","226.05","221.78","172.57M","1.73%"
"Dec 14, 2020","222.19","225.35","226.90","222.06","72.66M","-0.87%"
"Dec 11, 2020","224.15","223.34","224.20","221.70","66.27M","-0.00%"
"Dec 10, 2020","224.16","224.58","226.26","223.40","71.90M","-0.48%"
"Dec 09, 2020","225.25","227.83","227.92","223.94","77.83M","-0.98%"
"Dec 08, 2020","227.47","228.41","229.12","227.33","64.26M","-0.50%"
"Dec 07, 2020","228.62","230.06","230.99","227.81","63.04M","-0.94%"
"Dec 04, 2020","230.80","228.88","230.92","228.87","71.00M","1.33%"
"Dec 03, 2020","227.78","226.43","228.84","226.24","71.40M","0.73%"
"Dec 02, 2020","226.12","227.91","229.33","225.99","62.63M","-1.12%"
"Dec 01, 2020","228.68","227.81","229.38","227.61","67.75M","1.27%"
"Nov 30, 2020","225.82","227.45","227.54","224.72","125.14M","-0.81%"
"Nov 27, 2020","227.66","229.11","229.11","226.82","27.13M","-0.22%"
"Nov 25, 2020","228.17","227.88","228.55","226.29","65.08M","0.22%"
"Nov 24, 2020","227.68","230.51","231.13","227.32","92.35M","-0.03%"
"Nov 23, 2020","227.74","229.74","230.21","227.35","83.39M","-0.34%"
"Nov 20, 2020","228.51","230.06","230.32","227.80","74.15M","-0.66%"
"Nov 19, 2020","230.02","228.78","230.45","226.89","85.99M","0.12%"
"Nov 18, 2020","229.74","233.63","235.95","229.67","69.80M","-1.67%"
"Nov 17, 2020","233.65","231.62","234.53","230.46","77.15M","0.12%"
"Nov 16, 2020","233.38","236.10","236.42","230.79","95.03M","0.51%"
"Nov 13, 2020","232.20","228.55","232.66","228.47","83.60M","2.28%"
"Nov 12, 2020","227.03","228.83","229.87","225.61","80.53M","-1.02%"
"Nov 11, 2020","229.36","228.61","230.66","227.00","88.82M","0.77%"
"Nov 10, 2020","227.60","226.74","228.80","225.63","137.96M","0.52%"
"Nov 09, 2020","226.42","233.06","241.70","225.86","197.67M","2.57%"
"Nov 06, 2020","220.74","222.01","223.33","219.92","71.21M","-0.42%"
"Nov 05, 2020","221.67","222.78","223.73","220.70","67.26M","0.31%"
"Nov 04, 2020","220.98","220.54","224.75","219.67","77.71M","0.28%"
"Nov 03, 2020","220.36","219.21","221.44","217.83","81.17M","1.63%"
"Nov 02, 2020","216.82","213.85","216.82","212.57","82.41M","2.53%"
"Oct 30, 2020","211.46","211.77","212.91","209.00","76.90M","-0.74%"
"Oct 29, 2020","213.04","211.46","214.80","209.29","77.56M","1.34%"
"Oct 28, 2020","210.22","212.18","214.10","209.76","85.72M","-2.41%"
"Oct 27, 2020","215.41","218.42","219.58","215.41","54.39M","-1.24%"
"Oct 26, 2020","218.11","219.14","219.14","216.08","57.12M","-1.20%"
"Oct 23, 2020","220.77","220.41","221.37","219.10","44.76M","0.68%"
"Oct 22, 2020","219.28","220.79","221.03","218.98","56.53M","-0.76%"
"Oct 21, 2020","220.97","220.90","222.29","220.44","53.50M","-0.37%"
"Oct 20, 2020","221.79","221.86","223.36","221.25","48.14M","0.73%"
"Oct 19, 2020","220.19","224.55","224.68","220.03","58.94M","-1.55%"
"Oct 16, 2020","223.66","224.11","225.16","223.06","54.94M","-0.41%"
"Oct 15, 2020","224.58","222.22","226.42","222.14","47.59M","0.47%"
"Oct 14, 2020","223.54","226.08","226.46","223.23","44.66M","-1.16%"
"Oct 13, 2020","226.17","228.76","228.99","224.95","56.29M","-1.70%"
"Oct 12, 2020","230.07","229.51","230.57","227.94","49.78M","0.49%"
"Oct 09, 2020","228.95","230.76","230.99","228.02","51.03M","-0.30%"
"Oct 08, 2020","229.64","226.90","230.47","226.86","63.44M","1.58%"
"Oct 07, 2020","226.06","226.63","227.28","225.10","59.80M","0.28%"
"Oct 06, 2020","225.43","227.64","228.36","224.55","70.18M","-0.78%"
"Oct 05, 2020","227.20","226.43","227.46","222.57","58.07M","0.60%"
"Oct 02, 2020","225.85","219.62","226.60","218.95","75.42M","1.58%"
"Oct 01, 2020","222.34","219.77","222.38","218.25","67.66M","1.55%"
"Sep 30, 2020","218.95","218.69","220.78","216.67","73.71M","0.55%"
"Sep 29, 2020","217.76","218.24","219.13","216.44","52.28M","-0.58%"
"Sep 28, 2020","219.02","218.97","220.04","217.79","56.12M","1.70%"
"Sep 25, 2020","215.36","210.17","215.54","210.04","54.77M","1.96%"
"Sep 24, 2020","211.23","210.74","214.07","209.75","66.92M","0.37%"
"Sep 23, 2020","210.45","216.46","216.46","210.11","69.41M","-2.91%"
"Sep 22, 2020","216.76","214.19","218.34","214.19","80.43M","1.26%"
"Sep 21, 2020","214.06","217.41","217.66","213.00","93.98M","-2.74%"
"Sep 18, 2020","220.08","223.55","224.02","219.61","116.83M","-1.96%"
"Sep 17, 2020","224.47","226.94","228.94","222.98","69.02M","-2.19%"
"Sep 16, 2020","229.49","229.39","231.82","228.55","76.74M","0.54%"
"Sep 15, 2020","228.26","225.79","230.21","225.79","75.97M","1.39%"
"Sep 14, 2020","225.13","221.41","225.78","221.41","65.88M","2.16%"
"Sep 11, 2020","220.38","221.77","221.82","218.63","63.21M","-0.28%"
"Sep 10, 2020","220.99","223.56","224.53","220.96","68.10M","-1.47%"
"Sep 09, 2020","224.28","223.30","227.00","223.03","69.58M","1.23%"
"Sep 08, 2020","221.56","223.01","223.63","220.01","70.96M","-1.28%"
"Sep 04, 2020","224.44","226.13","227.32","220.73","64.30M","-0.47%"
"Sep 03, 2020","225.49","229.57","230.38","223.83","69.22M","-1.64%"
"Sep 02, 2020","229.25","223.88","229.42","222.71","71.08M","2.24%"
"Sep 01, 2020","224.23","223.44","224.52","222.25","51.86M","-0.15%"
"Aug 31, 2020","224.57","225.88","226.05","223.82","67.64M","-0.85%"
"Aug 28, 2020","226.49","225.41","226.50","223.10","52.95M","0.72%"
"Aug 27, 2020","224.86","222.75","225.44","222.54","51.03M","1.37%"
"Aug 26, 2020","221.82","222.65","222.70","220.35","49.55M","-0.74%"
"Aug 25, 2020","223.48","223.47","223.50","221.51","54.04M","0.31%"
"Aug 24, 2020","222.80","221.93","222.81","219.57","52.40M","0.24%"
"Aug 21, 2020","222.26","222.65","223.01","219.65","48.22M","0.24%"
"Aug 20, 2020","221.72","218.19","222.70","218.13","48.28M","1.08%"
"Aug 19, 2020","219.35","224.23","224.33","219.07","60.04M","-2.01%"
