"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2019","174.64","173.48","175.89","173.48","249.33M","0.67%"
"Nov 06, 2019","173.48","173.83","173.83","172.70","166.18M","-0.20%"
"Nov 05, 2019","173.83","173.95","174.27","173.53","152.09M","-0.07%"
"Nov 04, 2019","173.95","173.25","174.61","173.25","180.45M","0.40%"
"Nov 01, 2019","173.25","171.82","173.27","171.82","179.10M","0.83%"
"Oct 31, 2019","171.82","171.36","172.60","170.54","233.47M","0.27%"
"Oct 30, 2019","171.36","171.03","171.93","170.63","195.93M","0.19%"
"Oct 29, 2019","171.03","172.68","172.68","170.75","151.89M","-0.96%"
"Oct 28, 2019","172.68","170.68","173.23","170.68","216.13M","1.17%"
"Oct 25, 2019","170.68","169.48","171.48","169.02","178.83M","0.71%"
"Oct 24, 2019","169.48","170.73","170.84","168.97","271.20M","-0.73%"
"Oct 23, 2019","170.73","169.65","171.03","169.63","161.43M","0.64%"
"Oct 22, 2019","169.65","171.19","171.35","169.56","161.85M","-0.90%"
"Oct 21, 2019","171.19","170.48","171.50","170.48","145.88M","0.42%"
"Oct 18, 2019","170.48","171.98","172.32","169.67","202.65M","-0.87%"
"Oct 17, 2019","171.98","170.89","172.38","170.89","164.84M","0.64%"
"Oct 16, 2019","170.89","170.64","171.20","170.17","149.02M","0.15%"
"Oct 15, 2019","170.64","167.92","171.02","167.92","141.36M","1.62%"
"Oct 14, 2019","167.92","168.26","168.50","167.66","111.49M","-0.20%"
"Oct 11, 2019","168.26","166.53","169.56","166.53","159.38M","1.04%"
"Oct 10, 2019","166.53","165.47","167.19","165.18","131.27M","0.64%"
"Oct 09, 2019","165.47","164.85","166.04","164.80","121.11M","0.38%"
"Oct 08, 2019","164.85","167.05","167.05","164.83","158.68M","-1.32%"
"Oct 07, 2019","167.05","166.98","168.08","166.19","136.30M","0.04%"
"Oct 04, 2019","166.98","164.67","167.17","164.67","137.10M","1.40%"
"Oct 03, 2019","164.67","163.32","164.79","161.54","160.91M","0.83%"
"Oct 02, 2019","163.32","165.56","165.56","162.73","176.93M","-1.35%"
"Oct 01, 2019","165.56","167.26","168.23","165.47","155.27M","-1.02%"
"Sep 30, 2019","167.26","166.67","167.64","166.67","139.18M","0.35%"
"Sep 27, 2019","166.67","168.23","168.62","165.37","149.74M","-0.93%"
"Sep 26, 2019","168.23","169.58","169.58","166.86","148.42M","-0.80%"
"Sep 25, 2019","169.58","167.70","169.87","166.64","149.76M","1.12%"
"Sep 24, 2019","167.70","169.98","170.84","167.06","196.90M","-1.34%"
"Sep 23, 2019","169.98","170.66","170.66","169.39","149.12M","-0.40%"
"Sep 20, 2019","170.66","171.45","171.73","169.60","317.00M","-0.46%"
"Sep 19, 2019","171.45","171.35","172.44","171.04","141.40M","0.06%"
"Sep 18, 2019","171.35","171.49","171.55","169.67","157.03M","-0.08%"
"Sep 17, 2019","171.49","170.99","171.51","170.36","151.18M","0.29%"
"Sep 16, 2019","170.99","172.31","172.31","170.46","141.80M","-0.77%"
"Sep 13, 2019","172.31","172.39","172.71","171.78","155.95M","-0.05%"
"Sep 12, 2019","172.39","171.76","173.07","171.76","181.77M","0.37%"
"Sep 11, 2019","171.76","170.15","171.80","170.06","196.50M","0.95%"
"Sep 10, 2019","170.15","170.20","170.62","169.01","213.62M","-0.03%"
"Sep 09, 2019","170.20","169.82","171.53","169.52","250.39M","0.22%"
"Sep 06, 2019","169.82","170.20","170.30","169.38","146.47M","-0.22%"
"Sep 05, 2019","170.20","167.52","170.24","167.52","169.51M","1.60%"
"Sep 04, 2019","167.52","164.87","167.80","164.87","150.18M","1.61%"
"Sep 03, 2019","164.87","166.58","166.58","164.28","134.43M","-1.03%"
"Aug 30, 2019","166.58","166.71","167.47","165.75","130.87M","-0.08%"
"Aug 29, 2019","166.71","164.51","167.24","164.51","129.76M","1.34%"
"Aug 28, 2019","164.51","163.68","164.67","162.61","140.57M","0.51%"
"Aug 27, 2019","163.68","163.52","165.09","163.28","176.04M","0.10%"
"Aug 26, 2019","163.52","161.06","163.59","161.06","124.01M","1.53%"
"Aug 23, 2019","161.06","165.36","165.77","160.59","182.54M","-2.60%"
"Aug 22, 2019","165.36","165.64","166.30","163.94","120.35M","-0.17%"
"Aug 21, 2019","165.64","164.99","166.23","164.99","119.14M","0.39%"
"Aug 20, 2019","164.99","166.64","166.64","164.85","141.67M","-0.99%"
"Aug 19, 2019","166.64","164.35","167.34","164.35","152.30M","1.39%"
"Aug 16, 2019","164.35","162.44","164.64","162.44","151.53M","1.18%"
"Aug 15, 2019","162.44","161.67","163.08","161.14","171.75M","0.48%"
"Aug 14, 2019","161.67","166.78","166.78","161.37","216.11M","-3.06%"
"Aug 13, 2019","166.78","164.26","168.06","164.09","175.90M","1.53%"
"Aug 12, 2019","164.26","165.94","165.94","163.59","125.30M","-1.01%"
"Aug 09, 2019","165.94","167.28","167.28","164.94","154.53M","-0.80%"
"Aug 08, 2019","167.28","163.64","167.30","163.64","204.84M","2.22%"
"Aug 07, 2019","163.64","164.33","164.33","160.52","220.84M","-0.42%"
