"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","313.06","313.47","314.59","311.56","81.16M","-0.38%"
"Nov 07, 2019","314.25","317.19","317.27","312.23","101.77M","-1.35%"
"Nov 06, 2019","318.54","318.25","320.05","317.84","83.74M","0.26%"
"Nov 05, 2019","317.71","319.54","320.41","316.82","91.74M","-1.02%"
"Nov 04, 2019","321.00","325.09","325.09","319.78","80.97M","-1.28%"
"Nov 01, 2019","325.17","326.19","327.22","324.59","68.67M","-0.21%"
"Oct 31, 2019","325.85","324.55","326.40","323.45","84.64M","0.46%"
"Oct 30, 2019","324.36","321.65","325.10","321.55","76.88M","0.86%"
"Oct 29, 2019","321.58","320.91","322.13","320.03","72.15M","0.11%"
"Oct 28, 2019","321.23","324.10","324.71","320.80","72.27M","-1.31%"
"Oct 25, 2019","325.49","329.58","329.58","324.32","73.42M","-1.09%"
"Oct 24, 2019","329.07","327.88","329.53","327.61","64.81M","0.39%"
"Oct 23, 2019","327.78","327.20","328.63","326.45","73.12M","0.37%"
"Oct 22, 2019","326.58","325.72","328.02","325.09","64.85M","0.45%"
"Oct 21, 2019","325.13","324.03","325.28","323.00","56.14M","0.37%"
"Oct 18, 2019","323.94","322.54","324.57","321.33","83.22M","0.37%"
"Oct 17, 2019","322.76","321.85","323.47","321.21","71.09M","0.23%"
"Oct 16, 2019","322.03","320.77","322.14","319.61","81.15M","0.24%"
"Oct 15, 2019","321.27","322.38","323.23","320.49","64.04M","-0.30%"
"Oct 14, 2019","322.23","325.12","325.24","321.42","58.80M","-0.67%"
"Oct 11, 2019","324.41","325.47","326.41","323.36","61.91M","-0.35%"
"Oct 10, 2019","325.54","324.70","326.27","322.76","56.60M","-0.12%"
"Oct 09, 2019","325.92","325.29","327.21","324.51","53.86M","0.51%"
"Oct 08, 2019","324.27","327.27","327.34","324.27","62.24M","-1.01%"
"Oct 07, 2019","327.59","328.62","328.83","326.67","54.12M","-0.45%"
"Oct 04, 2019","329.06","324.71","329.42","324.20","57.91M","1.52%"
"Oct 03, 2019","324.12","323.86","324.26","321.89","82.34M","0.27%"
"Oct 02, 2019","323.25","327.22","327.53","322.63","74.02M","-1.29%"
"Oct 01, 2019","327.49","327.84","328.13","326.09","59.32M","-0.30%"
"Sep 30, 2019","328.49","328.60","330.16","327.65","72.80M","0.06%"
"Sep 27, 2019","328.29","329.79","329.79","326.54","59.69M","-0.34%"
"Sep 26, 2019","329.42","328.59","330.47","328.08","60.38M","0.48%"
"Sep 25, 2019","327.84","327.85","328.15","326.08","65.36M","-0.03%"
"Sep 24, 2019","327.93","325.43","329.12","325.17","77.06M","1.06%"
"Sep 23, 2019","324.50","324.07","325.43","323.58","60.17M","0.13%"
"Sep 20, 2019","324.08","323.01","324.51","321.87","125.12M","0.37%"
"Sep 19, 2019","322.88","322.44","323.22","321.20","55.12M","0.36%"
"Sep 18, 2019","321.72","321.18","322.57","319.40","67.91M","0.47%"
"Sep 17, 2019","320.21","317.83","320.90","317.83","67.73M","0.89%"
"Sep 16, 2019","317.38","317.44","317.88","315.79","57.12M","0.08%"
"Sep 13, 2019","317.12","317.59","319.39","316.13","70.56M","-0.57%"
"Sep 12, 2019","318.94","319.94","321.32","317.83","72.45M","0.14%"
"Sep 11, 2019","318.51","315.04","318.77","313.68","73.32M","0.98%"
"Sep 10, 2019","315.43","314.65","315.44","312.78","83.39M","0.10%"
"Sep 09, 2019","315.12","316.15","316.55","314.48","74.42M","-0.62%"
"Sep 06, 2019","317.09","318.60","319.58","315.86","70.57M","-0.33%"
"Sep 05, 2019","318.15","319.69","320.14","317.14","81.24M","-1.19%"
"Sep 04, 2019","321.98","322.34","322.90","319.89","58.31M","0.15%"
"Sep 03, 2019","321.51","315.94","321.56","315.76","80.57M","1.75%"
"Aug 30, 2019","315.97","316.76","317.02","314.99","69.02M","0.05%"
"Aug 29, 2019","315.82","314.99","315.91","313.00","60.75M","0.64%"
"Aug 28, 2019","313.80","314.96","316.03","312.63","72.56M","-0.26%"
